學號,姓名,課程代碼,課程名稱,學分,教師,期中考,期末考,平時成績
41013111E,學生468,PHU0214,實驗物理（三）,3,教師10,51,100,14
41272219H,學生618,PHU0214,實驗物理（三）,3,教師10,92,50,71
41102144E,學生230,PHU0214,實驗物理（三）,3,教師10,14,6,77
412H0026I,學生929,PHU0214,實驗物理（三）,3,教師10,71,20,86
41084208I,學生870,PHU0214,實驗物理（三）,3,教師10,60,72,61
41184115I,學生877,PHU0214,實驗物理（三）,3,教師10,20,38,39
41073215H,學生658,PHU0214,實驗物理（三）,3,教師10,82,17,84
41240044S,學生1353,PHU0214,實驗物理（三）,3,教師10,86,3,79
41223020L,學生1102,PHU0214,實驗物理（三）,3,教師10,74,88,81
41060015T,學生1647,PHU0214,實驗物理（三）,3,教師10,74,59,52
41030001A,學生1,PHU0214,實驗物理（三）,3,教師10,87,13,23
41041042S,學生1396,PHU0214,實驗物理（三）,3,教師10,99,8,25
41006033E,學生316,PHU0214,實驗物理（三）,3,教師10,23,89,88
41047102S,學生1538,PHU0214,實驗物理（三）,3,教師10,2,52,59
41277106H,學生779,PHU0214,實驗物理（三）,3,教師10,21,1,40
41251110S,學生1594,PHU0214,實驗物理（三）,3,教師10,52,83,28
41107103E,學生331,PHU0214,實驗物理（三）,3,教師10,1,91,14
41060202T,學生1634,PHU0214,實驗物理（三）,3,教師10,87,59,44
41001004E,學生145,PHU0214,實驗物理（三）,3,教師10,29,70,64
41026018L,學生1149,PHU0214,實驗物理（三）,3,教師10,37,43,88
41207234E,學生362,PHU0214,實驗物理（三）,3,教師10,1,7,70
41147142S,學生1578,PHU0214,實驗物理（三）,3,教師10,63,46,8
41109013E,學生383,PHU0214,實驗物理（三）,3,教師10,59,34,87
41190235M,學生1208,PHU0214,實驗物理（三）,3,教師10,20,77,0
41190116M,學生1189,PHU0214,實驗物理（三）,3,教師10,32,80,7
41222223L,學生1060,PHU0214,實驗物理（三）,3,教師10,75,35,87
41230208A,學生8,PHU0214,實驗物理（三）,3,教師10,57,49,62
41142217S,學生1421,PHU0214,實驗物理（三）,3,教師10,21,3,10
41077020H,學生793,PHU0214,實驗物理（三）,3,教師10,88,1,80
41126137L,學生1168,PHU0214,實驗物理（三）,3,教師10,48,5,7
41040108S,學生1317,PHU0214,實驗物理（三）,3,教師10,90,53,34
412H0022I,學生925,PHU0214,實驗物理（三）,3,教師10,58,3,34
41001114E,學生155,PHU0214,實驗物理（三）,3,教師10,41,53,32
41101111E,學生152,PHU0214,實驗物理（三）,3,教師10,91,92,4
41242229S,學生1433,PHU0214,實驗物理（三）,3,教師10,59,62,40
41007102E,學生330,PHU0214,實驗物理（三）,3,教師10,79,17,27
41251036S,學生1620,PHU0214,實驗物理（三）,3,教師10,14,89,6
41092205M,學生1224,PHU0214,實驗物理（三）,3,教師10,61,43,72
